orbital_period,impact_parameter,transit_duration,transit_depth,planet_radius,planet_star_radius_ratio,stellar_teff,stellar_logg,stellar_radius,stellar_mass,stellar_density,stellar_magnitude,label
9.48803557,0.146,2.9575,615.8,2.26,0.022344,5455.0,4.467,0.927,0.919,3.20796,15.347,1
54.4183827,0.586,4.507,874.8,2.83,0.027954,5455.0,4.467,0.927,0.919,3.02368,15.347,1
19.89913995,0.969,1.7822,10829.0,14.6,0.154046,5853.0,4.544,0.868,0.961,7.29555,15.436,0
1.736952453,1.276,2.40641,8079.2,33.46,0.387394,5805.0,4.564,0.791,0.836,0.2208,15.597,0
2.525591777,0.701,1.6545,603.3,2.75,0.024064,6031.0,4.438,1.046,1.095,1.98635,15.509,1
11.09432054,0.538,4.5945,1517.5,3.9,0.036779,6046.0,4.486,0.972,1.053,0.67324,15.714,1
4.13443512,0.762,3.1402,686.0,2.77,0.026133,6046.0,4.486,0.972,1.053,0.37377,15.714,1
2.56658897,0.755,2.429,226.5,1.59,0.014983,6046.0,4.486,0.972,1.053,0.48909,15.714,1
7.36178958,1.169,5.022,233.7,39.21,0.183387,6227.0,3.986,1.958,1.358,0.00485,12.66,0
16.06864674,0.052,3.5347,4914.3,5.76,0.062161,5031.0,4.485,0.848,0.801,3.6659,15.841,1
2.470613377,0.818,1.74319,14231.0,13.04,0.123871,5820.0,4.457,0.964,0.971,1.83538,11.338,1
2.204735417,0.224,3.88864,6674.7,16.1,0.075522,6440.0,4.019,1.952,1.449,0.37936,10.463,1
3.522498429,0.631,3.19843,9145.7,14.59,0.092086,6225.0,4.169,1.451,1.132,0.65374,13.563,1
3.709214104,0.051,2.6302,131.1,1.16,0.010424,5833.0,4.407,1.022,0.974,1.77451,12.772,1
11.521446064,2.483,3.6399,17984.0,150.51,1.625358,5795.0,4.554,0.848,0.938,1.27376,15.472,0
19.40393776,0.804,12.2155,8918.7,7.18,0.096729,5043.0,4.591,0.68,0.657,0.03785,15.487,0
19.221388942,1.065,4.79843,74284.0,49.29,0.476633,6117.0,4.496,0.947,1.025,1.57359,15.341,0
16.46983774,0.292,9.4378,10479.0,7.94,0.092509,5152.0,4.517,0.786,0.741,0.19353,15.788,0
9.27358173,0.387,3.2875,1288.3,2.47,0.032563,4856.0,4.583,0.696,0.676,1.93557,15.302,1
6.02930329,0.258,1.5821,1912.7,2.85,0.038838,4537.0,4.648,0.672,0.761,13.09803,15.784,1
2.696370652,0.044,3.6129,397.9,1.58,0.017673,4989.0,4.504,0.819,0.781,0.51471,15.269,0
5.349553819,0.092,3.0278,831.0,2.55,0.025706,5185.0,4.44,0.91,0.831,1.73782,15.416,1
3.94105221,0.226,2.5984,363.3,1.7,0.017105,5185.0,4.44,0.91,0.831,1.85636,15.416,1
8.10904807,0.025,3.596,217.4,1.3,0.013127,5185.0,4.44,0.91,0.831,1.5302,15.416,1
386.6030528,0.9765,6.8057,24927.0,41.5,0.240528,5543.0,4.081,1.58,1.103,4.63335,12.394,0
21.67699193,0.896,3.4555,857.2,2.95,0.032666,4954.0,4.5,0.828,0.791,0.60007,15.377,1
4.99677968,0.71,2.1717,934.7,2.78,0.030014,5339.0,4.552,0.847,0.931,1.71827,15.861,1
4.280963604,0.424,2.875,750.8,2.3,0.025377,5644.0,4.564,0.831,0.928,1.24482,15.356,1
1.50635409,0.86,1.5155,2211.7,4.53,0.049899,5714.0,4.563,0.831,0.926,0.84722,15.525,0
670.645531,0.701,53.412,18091.0,14.14,0.131705,5520.0,4.466,0.983,1.03,0.02605,15.207,0
61.2563628,1.248,7.633,5123.3,39.87,0.334628,6144.0,4.402,1.091,1.093,0.12411,15.25,0
38.3775486,0.468,5.588,724.2,2.82,0.024901,5481.0,4.369,1.036,0.915,1.40588,15.172,1
41.19725502,0.045,4.6297,2213.9,3.86,0.041693,5031.0,4.485,0.848,0.801,3.9471,15.841,1
6.252962249,0.105,2.5819,1036.9,2.65,0.028604,5031.0,4.485,0.848,0.801,3.28707,15.841,1
16.01308419,0.799,3.2554,1121.9,3.1,0.034369,5015.0,4.499,0.826,0.785,1.10942,15.39,1
32.62876672,0.021,4.7971,1804.8,3.36,0.03852,5586.0,4.56,0.798,0.844,2.79093,15.082,1
91.7732862,0.606,6.473,652.0,2.12,0.02432,5586.0,4.56,0.798,0.844,1.60558,15.082,1
4.959319244,0.831,2.22739,9802.0,12.21,0.103379,5712.0,4.359,1.082,0.976,1.46169,15.263,1
2.701287801,1.016,3.3827,860.4,6.54,0.06584,5550.0,4.468,0.91,0.889,0.02818,15.54,0
4.49876511,0.312,3.7362,460.0,2.1,0.019817,6075.0,4.486,0.969,1.048,0.67106,15.395,1
19.651209505,0.723,5.2514,11766.0,12.42,0.106953,6074.0,4.391,1.063,1.014,0.67559,15.536,0
5.412203927,0.787,2.9472,601.6,2.94,0.024775,5779.0,4.339,1.087,0.941,0.51087,12.791,1
41.43958662,0.355,10.5989,2793.1,5.5,0.048175,5468.0,4.367,1.046,0.93,0.28189,15.4,1
8.35389523,0.023,2.2514,1041.6,2.52,0.029305,5592.0,4.582,0.787,0.862,6.73215,15.317,1
4.125543472,0.597,3.1744,1487.3,4.43,0.036796,6174.0,4.417,1.103,1.162,0.67162,15.506,1
2.816504904,0.105,2.50587,16814.0,12.21,0.117059,5532.0,4.452,0.955,0.941,2.09079,15.052,1
33.93373447,0.812,14.561,8503.7,7.34,0.095386,5040.0,4.628,0.705,0.782,0.0371,15.716,0
3.689920099,0.151,2.6557,426.7,1.89,0.018878,5880.0,4.518,0.917,1.01,1.70798,15.242,1
4.431238488,0.405,3.15,1010.9,3.25,0.02933,5714.0,4.428,1.015,1.007,1.01996,15.367,1
11.37936986,0.911,2.6255,1023.5,3.95,0.035628,5714.0,4.428,1.015,1.007,0.63438,15.367,1
26.39432897,0.602,3.573,1510.9,3.07,0.03681,5129.0,4.595,0.763,0.846,2.93923,15.234,1
13.57078281,0.866,3.3539,511.7,2.64,0.023908,5854.0,4.406,1.012,0.951,0.49865,12.882,1
7.12594387,0.898,3.0014,192.4,1.79,0.01512,5779.0,4.339,1.087,0.941,0.23879,12.791,1
